
Host: Edens-MacBook-Air.local

Timers On : Fri Jul 23 21:50:25 2021
Timers Off: Fri Jul 23 21:55:47 2021

Wall Time:      322.04 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
CIWave: s3                          :      0.567u      0.033s      0.416w   1734 calls
| CIWave: s3_mt                     :      0.000u      0.000s      0.006w   2340 calls
ccenergy                            :      3.467u     16.467s     14.127w     30 calls
| F build                           :      0.133u      0.133s      0.156w    245 calls
| Wmbej build                       :      0.117u      0.067s      0.169w    245 calls
| | C->Wmbej                        :      0.000u      0.017s      0.015w    245 calls
| | F->Wmbej                        :      0.033u      0.017s      0.056w    245 calls
| | E->Wmbej                        :      0.000u      0.017s      0.033w    245 calls
| | X->Wmbej                        :      0.083u      0.017s      0.054w    245 calls
| Z                                 :      0.000u      0.017s      0.009w    245 calls
| T2 Build                          :      0.450u      0.167s      0.374w    245 calls
| | BT2                             :      0.133u      0.033s      0.074w    245 calls
| | | ABCD:new                      :      0.133u      0.033s      0.073w    245 calls
| | | | ABCD:S                      :      0.017u      0.000s      0.012w    245 calls
| | | | ABCD:A                      :      0.033u      0.017s      0.012w    245 calls
| | | | ABCD:axpy                   :      0.050u      0.000s      0.019w    245 calls
| | FT2                             :      0.000u      0.000s      0.018w    245 calls
| | WmbejT2                         :      0.050u      0.033s      0.066w    245 calls
| | CT2                             :      0.167u      0.067s      0.129w    245 calls
CIWave: s1                          :      0.000u      0.000s      0.001w    330 calls

**************************************************************************************

Host: Edens-MacBook-Air.local

Timers On : Sat Jul 24 17:16:04 2021
Timers Off: Sat Jul 24 17:26:30 2021

Wall Time:      625.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************
